component_id	repository	commit_sha	path	content_sha256	kind
globalgrid2050:pipeline/scripts/app-v9-7.js	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/scripts/app-v9-7.js	58726ab9eeb8bbc7d348fc508ad681d8e356bb82a7debd911557ba723c899525	application
globalgrid2050:pipeline/scripts/app-v9-8.js	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/scripts/app-v9-8.js	060c0d46d84847b602a51cd4e985185a0014251c8cf17779d8f9dab9615f8f96	application
globalgrid2050:pipeline/scripts/app.js	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/scripts/app.js	f24df134c92cd2178b2d5b90e606985b787c258a2a01181fd7341838fab7ac05	application
globalgrid2050:pipeline/scripts/build/interconnectors-v9-8.mjs	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/scripts/build/interconnectors-v9-8.mjs	39d0fd48c1dfde8bde2fb216749e70fb327dadfaa18d854bb5d27347a111e001	application
globalgrid2050:pipeline/scripts/build/regional-news-v9-7.mjs	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/scripts/build/regional-news-v9-7.mjs	a79fa1734d1f6cca1813a9dbcbfddb1c6cadfc485b00f0700bf63c55962005cf	application
globalgrid2050:pipeline/scripts/core/atlas-interconnector-link-v9-8.js	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/scripts/core/atlas-interconnector-link-v9-8.js	c8778f503b7551d6492e06dfe1c5802ebf8f0bef0bf6cf56c2ab17dfdf9d2537	application
globalgrid2050:pipeline/scripts/core/atlas-receiver-v9-7.js	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/scripts/core/atlas-receiver-v9-7.js	434be03661ca8d3502c02d5a80bb386a05c946ccf618257ae8f7f44db0e1f99a	application
globalgrid2050:pipeline/scripts/core/news-regions-v9-6-2.js	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/scripts/core/news-regions-v9-6-2.js	dd8a50414632200f9022bb19b934df50dab3785f1f88cfeadb133a4a207ccaa5	application
globalgrid2050:pipeline/scripts/core/news-relevance-v9-2.js	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/scripts/core/news-relevance-v9-2.js	e8b26fb6133b6be3286e55a3074744a54c5ca7ced13dd44367f31d3a665a29da	application
globalgrid2050:pipeline/scripts/core/plugin-host.js	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/scripts/core/plugin-host.js	e5aaa19b5bee93683fae461f7ead55d019e8c2edc8ce377680c0da634606e378	application
globalgrid2050:pipeline/scripts/core/project-filter-v9-2.js	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/scripts/core/project-filter-v9-2.js	007126279582d5dbbe6bb5ebf30a79fd998b4839e8498c5a9a76ab2e4033c842	application
globalgrid2050:pipeline/scripts/core/project-state.js	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/scripts/core/project-state.js	bf52f442cc1aaa7ba26a32ef9437a9dd0c4149120fc313a0ae6cf51d874557d8	application
globalgrid2050:pipeline/scripts/core/state.js	globalgrid2050	28e41f129d80ebd1a8514b6e2c355e24ec36451b	pipeline/scripts/core/state.js	7280acd43f72e166e7b7b3dac1d6e75439b1e1bf46b9e137c1b8aa891b52aad7	application
